load,tempc,year,month,day,hour
3100,-7,2017,1,13,23
2911,-8,2017,1,14,0
2705,-8,2017,1,14,1
2578,-8,2017,1,14,2
2627,-9,2017,1,14,3
2497,-9,2017,1,14,4
2552,-9,2017,1,14,5
2560,-10,2017,1,14,6
2830,-10,2017,1,14,7
3073,-11,2017,1,14,8
3188,-12,2017,1,14,9
3255,-11,2017,1,14,10
3214,-9,2017,1,14,11
3046,-8,2017,1,14,12
3003,-7,2017,1,14,13
2987,-4,2017,1,14,14
2927,-3,2017,1,14,15
2968,-2,2017,1,14,16
2935,-2,2017,1,14,17
3141,-4,2017,1,14,18
3384,-6,2017,1,14,19
3291,-7,2017,1,14,20
3241,-8,2017,1,14,21
3166,-9,2017,1,14,22
3036,-9,2017,1,14,23
2794,-9,2017,1,15,0
2542,-9,2017,1,15,1
2487,-7,2017,1,15,2
2452,-6,2017,1,15,3
2379,-6,2017,1,15,4
2457,-6,2017,1,15,5
2413,-7,2017,1,15,6
2665,-7,2017,1,15,7
2858,-5,2017,1,15,8
2995,-3,2017,1,15,9
3084,-3,2017,1,15,10
3039,-1,2017,1,15,11
3107,0,2017,1,15,12
3102,2,2017,1,15,13
3050,4,2017,1,15,14
3127,3,2017,1,15,15
3161,3,2017,1,15,16
3205,4,2017,1,15,17
3393,3,2017,1,15,18
3358,2,2017,1,15,19
3383,2,2017,1,15,20
3315,2,2017,1,15,21
3183,2,2017,1,15,22
3056,2,2017,1,15,23
2766,3,2017,1,16,0
2594,3,2017,1,16,1
2514,3,2017,1,16,2
2402,2,2017,1,16,3
2446,1,2017,1,16,4
2472,3,2017,1,16,5
2426,3,2017,1,16,6
2733,3,2017,1,16,7
2976,2,2017,1,16,8
3060,3,2017,1,16,9
3145,3,2017,1,16,10
3173,4,2017,1,16,11
3187,5,2017,1,16,12
3086,5,2017,1,16,13
3101,3,2017,1,16,14
3051,5,2017,1,16,15
3069,5,2017,1,16,16
3165,4,2017,1,16,17
3202,4,2017,1,16,18
3371,4,2017,1,16,19
3346,2,2017,1,16,20
3280,1,2017,1,16,21
3184,0,2017,1,16,22
3056,-1,2017,1,16,23
2858,-1,2017,1,17,0
2579,-2,2017,1,17,1
2554,-2,2017,1,17,2
2460,-2,2017,1,17,3
2421,-2,2017,1,17,4
2448,-3,2017,1,17,5
2556,-3,2017,1,17,6
2758,-3,2017,1,17,7
2932,-3,2017,1,17,8
3120,-4,2017,1,17,9
3167,-4,2017,1,17,10
3121,-3,2017,1,17,11
3026,-3,2017,1,17,12
3010,-1,2017,1,17,13
2901,0,2017,1,17,14
2944,1,2017,1,17,15
2919,1,2017,1,17,16
2995,1,2017,1,17,17
3079,-1,2017,1,17,18
3318,-2,2017,1,17,19
3306,-1,2017,1,17,20
3318,-1,2017,1,17,21
3245,-1,2017,1,17,22
3179,-1,2017,1,17,23
2922,-1,2017,1,18,0
2905,-1,2017,1,18,1
2720,-2,2017,1,18,2
2702,-2,2017,1,18,3
2625,-3,2017,1,18,4
3133,-3,2017,1,18,5
2588,-3,2017,1,18,6
2765,-3,2017,1,18,7
3024,-3,2017,1,18,8
3282,-4,2017,1,18,9
3234,-4,2017,1,18,10
3213,-4,2017,1,18,11
3165,-3,2017,1,18,12
3252,-1,2017,1,18,13
3227,1,2017,1,18,14
3151,4,2017,1,18,15
3119,3,2017,1,18,16
3233,2,2017,1,18,17
3370,0,2017,1,18,18
3355,0,2017,1,18,19
3308,-2,2017,1,18,20
3455,-4,2017,1,18,21
3374,-5,2017,1,18,22
3180,-5,2017,1,18,23
2995,-4,2017,1,19,0
2824,-5,2017,1,19,1
2710,-6,2017,1,19,2
2674,-5,2017,1,19,3
2620,-6,2017,1,19,4
2575,-5,2017,1,19,5
2575,-5,2017,1,19,6
2572,-6,2017,1,19,7
2676,-5,2017,1,19,8
2856,-4,2017,1,19,9
2971,-1,2017,1,19,10
3005,0,2017,1,19,11
3038,1,2017,1,19,12
3187,3,2017,1,19,13
3005,2,2017,1,19,14
3065,2,2017,1,19,15
2874,3,2017,1,19,16
2953,2,2017,1,19,17
3037,2,2017,1,19,18
3428,1,2017,1,19,19
3262,1,2017,1,19,20
3183,1,2017,1,19,21
3058,0,2017,1,19,22
3131,-1,2017,1,19,23
2730,-1,2017,1,20,0
2587,-2,2017,1,20,1
2574,-3,2017,1,20,2
2377,-3,2017,1,20,3
2337,-4,2017,1,20,4
2373,-3,2017,1,20,5
2367,-3,2017,1,20,6
2527,-5,2017,1,20,7
2570,-6,2017,1,20,8
2619,-5,2017,1,20,9
2831,-3,2017,1,20,10
2886,-2,2017,1,20,11
2904,1,2017,1,20,12
2931,1,2017,1,20,13
2931,2,2017,1,20,14
2843,3,2017,1,20,15
2940,3,2017,1,20,16
3011,2,2017,1,20,17
3311,2,2017,1,20,18
3526,2,2017,1,20,19
3555,2,2017,1,20,20
3529,4,2017,1,20,21
3409,2,2017,1,20,22
3283,3,2017,1,20,23
3005,2,2017,1,21,0
2724,3,2017,1,21,1
2640,3,2017,1,21,2
2605,3,2017,1,21,3
2553,2,2017,1,21,4
2512,1,2017,1,21,5
2748,1,2017,1,21,6
2846,0,2017,1,21,7
3169,0,2017,1,21,8
3359,1,2017,1,21,9
3413,1,2017,1,21,10
3351,1,2017,1,21,11
3449,1,2017,1,21,12
3402,1,2017,1,21,13
3328,1,2017,1,21,14
3288,1,2017,1,21,15
3319,1,2017,1,21,16
3277,0,2017,1,21,17
3438,0,2017,1,21,18
3614,0,2017,1,21,19
3597,-1,2017,1,21,20
3516,-1,2017,1,21,21
3388,-4,2017,1,21,22
3239,-2,2017,1,21,23
2975,-3,2017,1,22,0
2822,-2,2017,1,22,1
2678,-2,2017,1,22,2
2618,-3,2017,1,22,3
2694,-2,2017,1,22,4
2622,-2,2017,1,22,5
2649,-2,2017,1,22,6
2964,-2,2017,1,22,7
3165,-2,2017,1,22,8
3394,-2,2017,1,22,9
3354,-2,2017,1,22,10
3359,-2,2017,1,22,11
3390,-2,2017,1,22,12
3350,-1,2017,1,22,13
3245,-1,2017,1,22,14
3263,-1,2017,1,22,15
3284,-1,2017,1,22,16
3287,-1,2017,1,22,17
3351,-1,2017,1,22,18
3444,-1,2017,1,22,19
3471,-1,2017,1,22,20
3500,-2,2017,1,22,21
3452,-2,2017,1,22,22
3226,-2,2017,1,22,23
2950,-3,2017,1,23,0
2766,-3,2017,1,23,1
2590,-3,2017,1,23,2
2667,-4,2017,1,23,3
2627,-4,2017,1,23,4
2673,-4,2017,1,23,5
2749,-4,2017,1,23,6
2988,-4,2017,1,23,7
3279,-4,2017,1,23,8
3384,-4,2017,1,23,9
