load,tempc,year,month,day,hour
9056,-17,2017,1,16,9
9187,-17,2017,1,16,10
9052,-16,2017,1,16,11
9060,-14,2017,1,16,12
8823,-12,2017,1,16,13
8673,-12,2017,1,16,14
8663,-10,2017,1,16,15
8555,-10,2017,1,16,16
8849,-11,2017,1,16,17
9030,-11,2017,1,16,18
9215,-10,2017,1,16,19
9246,-10,2017,1,16,20
9212,-10,2017,1,16,21
9219,-11,2017,1,16,22
9112,-11,2017,1,16,23
8954,-12,2017,1,17,0
8612,-11,2017,1,17,1
8452,-11,2017,1,17,2
8418,-12,2017,1,17,3
8578,-12,2017,1,17,4
8414,-13,2017,1,17,5
8453,-13,2017,1,17,6
8619,-13,2017,1,17,7
9042,-13,2017,1,17,8
9191,-12,2017,1,17,9
9229,-12,2017,1,17,10
9388,-12,2017,1,17,11
9300,-11,2017,1,17,12
9242,-11,2017,1,17,13
9117,-10,2017,1,17,14
8723,-9,2017,1,17,15
8695,-9,2017,1,17,16
8811,-8,2017,1,17,17
9137,-8,2017,1,17,18
9260,-7,2017,1,17,19
9241,-6,2017,1,17,20
9179,-5,2017,1,17,21
9198,-5,2017,1,17,22
8937,-4,2017,1,17,23
8669,-3,2017,1,18,0
8535,-3,2017,1,18,1
8343,-3,2017,1,18,2
8437,-3,2017,1,18,3
8503,-3,2017,1,18,4
9406,-3,2017,1,18,5
8403,-4,2017,1,18,6
8571,-5,2017,1,18,7
8827,-6,2017,1,18,8
8964,-6,2017,1,18,9
9137,-8,2017,1,18,10
9092,-9,2017,1,18,11
8915,-10,2017,1,18,12
8688,-9,2017,1,18,13
8540,-8,2017,1,18,14
8533,-7,2017,1,18,15
8578,-7,2017,1,18,16
8720,-8,2017,1,18,17
8893,-11,2017,1,18,18
9036,-13,2017,1,18,19
8925,-15,2017,1,18,20
8888,-15,2017,1,18,21
8847,-13,2017,1,18,22
8665,-12,2017,1,18,23
8371,-14,2017,1,19,0
8300,-14,2017,1,19,1
8003,-14,2017,1,19,2
8018,-17,2017,1,19,3
8004,-18,2017,1,19,4
8005,-20,2017,1,19,5
8088,-21,2017,1,19,6
7949,-21,2017,1,19,7
8323,-21,2017,1,19,8
8469,-22,2017,1,19,9
8548,-23,2017,1,19,10
8686,-21,2017,1,19,11
8720,-19,2017,1,19,12
8678,-16,2017,1,19,13
8696,-16,2017,1,19,14
8785,-15,2017,1,19,15
8647,-14,2017,1,19,16
8606,-14,2017,1,19,17
8895,-17,2017,1,19,18
8862,-18,2017,1,19,19
9035,-19,2017,1,19,20
8979,-20,2017,1,19,21
8907,-20,2017,1,19,22
8572,-20,2017,1,19,23
8461,-19,2017,1,20,0
8388,-18,2017,1,20,1
8215,-18,2017,1,20,2
8162,-19,2017,1,20,3
8171,-19,2017,1,20,4
8063,-17,2017,1,20,5
8107,-14,2017,1,20,6
7935,-14,2017,1,20,7
8216,-13,2017,1,20,8
8332,-11,2017,1,20,9
8530,-9,2017,1,20,10
8513,-8,2017,1,20,11
8769,-7,2017,1,20,12
8647,-6,2017,1,20,13
8461,-6,2017,1,20,14
8497,-5,2017,1,20,15
8568,-5,2017,1,20,16
8720,-4,2017,1,20,17
8813,-4,2017,1,20,18
9069,-3,2017,1,20,19
9026,-4,2017,1,20,20
8985,-4,2017,1,20,21
8848,-5,2017,1,20,22
8581,-5,2017,1,20,23
8364,-6,2017,1,21,0
8197,-6,2017,1,21,1
8040,-7,2017,1,21,2
8079,-7,2017,1,21,3
7958,-7,2017,1,21,4
7973,-7,2017,1,21,5
8050,-8,2017,1,21,6
8223,-9,2017,1,21,7
8587,-10,2017,1,21,8
8774,-10,2017,1,21,9
8757,-11,2017,1,21,10
8746,-11,2017,1,21,11
8695,-13,2017,1,21,12
8626,-13,2017,1,21,13
8573,-13,2017,1,21,14
8440,-12,2017,1,21,15
8461,-13,2017,1,21,16
8562,-12,2017,1,21,17
8822,-15,2017,1,21,18
8944,-18,2017,1,21,19
8916,-20,2017,1,21,20
8867,-19,2017,1,21,21
8817,-19,2017,1,21,22
8575,-19,2017,1,21,23
8342,-20,2017,1,22,0
8225,-20,2017,1,22,1
8024,-20,2017,1,22,2
8043,-20,2017,1,22,3
7914,-21,2017,1,22,4
7934,-20,2017,1,22,5
7985,-21,2017,1,22,6
8265,-18,2017,1,22,7
8479,-18,2017,1,22,8
8668,-17,2017,1,22,9
8686,-16,2017,1,22,10
8733,-14,2017,1,22,11
8584,-12,2017,1,22,12
8581,-12,2017,1,22,13
8504,-11,2017,1,22,14
8497,-12,2017,1,22,15
8632,-12,2017,1,22,16
