load,tempc,year,month,day,hour
10375,-11,2017,1,15,21
10381,-11,2017,1,15,22
10238,-11,2017,1,15,23
9987,-11,2017,1,16,0
9552,-11,2017,1,16,1
9598,-11,2017,1,16,2
9325,-11,2017,1,16,3
9343,-12,2017,1,16,4
9401,-12,2017,1,16,5
9354,-12,2017,1,16,6
9500,-11,2017,1,16,7
9668,-14,2017,1,16,8
10287,-17,2017,1,16,9
10589,-17,2017,1,16,10
10448,-16,2017,1,16,11
10522,-14,2017,1,16,12
10432,-12,2017,1,16,13
10168,-12,2017,1,16,14
10230,-10,2017,1,16,15
10171,-10,2017,1,16,16
10259,-11,2017,1,16,17
10578,-11,2017,1,16,18
10520,-10,2017,1,16,19
10538,-10,2017,1,16,20
10538,-10,2017,1,16,21
10564,-11,2017,1,16,22
10420,-11,2017,1,16,23
10018,-12,2017,1,17,0
9684,-11,2017,1,17,1
9515,-11,2017,1,17,2
9427,-12,2017,1,17,3
9336,-12,2017,1,17,4
9376,-13,2017,1,17,5
9449,-13,2017,1,17,6
9439,-13,2017,1,17,7
9925,-13,2017,1,17,8
10135,-12,2017,1,17,9
10268,-12,2017,1,17,10
10346,-12,2017,1,17,11
10387,-11,2017,1,17,12
10436,-11,2017,1,17,13
10236,-10,2017,1,17,14
10078,-9,2017,1,17,15
9731,-9,2017,1,17,16
10038,-8,2017,1,17,17
10199,-8,2017,1,17,18
10245,-7,2017,1,17,19
10017,-6,2017,1,17,20
9899,-5,2017,1,17,21
9900,-5,2017,1,17,22
9936,-4,2017,1,17,23
9715,-3,2017,1,18,0
9732,-3,2017,1,18,1
9547,-3,2017,1,18,2
9503,-3,2017,1,18,3
9568,-3,2017,1,18,4
9899,-3,2017,1,18,5
9561,-4,2017,1,18,6
9628,-5,2017,1,18,7
9908,-6,2017,1,18,8
10057,-6,2017,1,18,9
10306,-8,2017,1,18,10
10369,-9,2017,1,18,11
10402,-10,2017,1,18,12
10098,-9,2017,1,18,13
9927,-8,2017,1,18,14
9913,-7,2017,1,18,15
10059,-7,2017,1,18,16
10345,-8,2017,1,18,17
10474,-11,2017,1,18,18
10578,-13,2017,1,18,19
10472,-15,2017,1,18,20
10491,-15,2017,1,18,21
10401,-13,2017,1,18,22
10081,-12,2017,1,18,23
9732,-14,2017,1,19,0
9446,-14,2017,1,19,1
9451,-14,2017,1,19,2
9480,-17,2017,1,19,3
9455,-18,2017,1,19,4
9486,-20,2017,1,19,5
9451,-21,2017,1,19,6
9526,-21,2017,1,19,7
9671,-21,2017,1,19,8
9801,-22,2017,1,19,9
9993,-23,2017,1,19,10
9834,-21,2017,1,19,11
9985,-19,2017,1,19,12
9994,-16,2017,1,19,13
9865,-16,2017,1,19,14
9864,-15,2017,1,19,15
9761,-14,2017,1,19,16
9771,-14,2017,1,19,17
10165,-17,2017,1,19,18
10345,-18,2017,1,19,19
10441,-19,2017,1,19,20
10413,-20,2017,1,19,21
10314,-20,2017,1,19,22
9857,-20,2017,1,19,23
9613,-19,2017,1,20,0
9385,-18,2017,1,20,1
9366,-18,2017,1,20,2
9400,-19,2017,1,20,3
9434,-19,2017,1,20,4
9395,-17,2017,1,20,5
9307,-14,2017,1,20,6
9346,-14,2017,1,20,7
9548,-13,2017,1,20,8
9638,-11,2017,1,20,9
9844,-9,2017,1,20,10
10058,-8,2017,1,20,11
10089,-7,2017,1,20,12
10058,-6,2017,1,20,13
9991,-6,2017,1,20,14
9962,-5,2017,1,20,15
9983,-5,2017,1,20,16
9717,-4,2017,1,20,17
9912,-4,2017,1,20,18
10132,-3,2017,1,20,19
10205,-4,2017,1,20,20
10261,-4,2017,1,20,21
10249,-5,2017,1,20,22
9910,-5,2017,1,20,23
9541,-6,2017,1,21,0
9517,-6,2017,1,21,1
9351,-7,2017,1,21,2
9300,-7,2017,1,21,3
9274,-7,2017,1,21,4
9291,-7,2017,1,21,5
9271,-8,2017,1,21,6
9311,-9,2017,1,21,7
9779,-10,2017,1,21,8
9897,-10,2017,1,21,9
10302,-11,2017,1,21,10
10323,-11,2017,1,21,11
10309,-13,2017,1,21,12
10103,-13,2017,1,21,13
9963,-13,2017,1,21,14
9967,-12,2017,1,21,15
9944,-13,2017,1,21,16
10086,-12,2017,1,21,17
10216,-15,2017,1,21,18
10374,-18,2017,1,21,19
10357,-20,2017,1,21,20
10343,-19,2017,1,21,21
10275,-19,2017,1,21,22
10174,-19,2017,1,21,23
9811,-20,2017,1,22,0
9537,-20,2017,1,22,1
9154,-20,2017,1,22,2
9129,-20,2017,1,22,3
9156,-21,2017,1,22,4
9218,-20,2017,1,22,5
9316,-21,2017,1,22,6
9565,-18,2017,1,22,7
9941,-18,2017,1,22,8
10126,-17,2017,1,22,9
10394,-16,2017,1,22,10
10451,-14,2017,1,22,11
10305,-12,2017,1,22,12
10160,-12,2017,1,22,13
10026,-11,2017,1,22,14
10083,-12,2017,1,22,15
10215,-12,2017,1,22,16
10321,-11,2017,1,22,17
10319,-11,2017,1,22,18
10685,-11,2017,1,22,19
10554,-10,2017,1,22,20
10532,-9,2017,1,22,21
10480,-8,2017,1,22,22
10388,-7,2017,1,22,23
9931,-7,2017,1,23,0
10110,-6,2017,1,23,1
9437,-6,2017,1,23,2
9442,-6,2017,1,23,3
9381,-6,2017,1,23,4
9523,-5,2017,1,23,5
9493,-5,2017,1,23,6
9662,-5,2017,1,23,7
10197,-5,2017,1,23,8
10564,-5,2017,1,23,9
10586,-5,2017,1,23,10
10663,-4,2017,1,23,11
10537,-4,2017,1,23,12
10234,-6,2017,1,23,13
9738,-7,2017,1,23,14
9719,-7,2017,1,23,15
9664,-8,2017,1,23,16
9950,-8,2017,1,23,17
9958,-10,2017,1,23,18
10332,-12,2017,1,23,19
10267,-12,2017,1,23,20
10294,-13,2017,1,23,21
10274,-13,2017,1,23,22
10092,-14,2017,1,23,23
9807,-14,2017,1,24,0
9504,-15,2017,1,24,1
9482,-15,2017,1,24,2
9337,-15,2017,1,24,3
9337,-16,2017,1,24,4
9311,-19,2017,1,24,5
9360,-21,2017,1,24,6
9594,-22,2017,1,24,7
10084,-23,2017,1,24,8
10215,-23,2017,1,24,9
10395,-25,2017,1,24,10
10471,-23,2017,1,24,11
10177,-23,2017,1,24,12
10195,-22,2017,1,24,13
9889,-21,2017,1,24,14
10007,-20,2017,1,24,15
9997,-20,2017,1,24,16
10137,-21,2017,1,24,17
10367,-23,2017,1,24,18
10779,-25,2017,1,24,19
10926,-26,2017,1,24,20
10775,-27,2017,1,24,21
10616,-27,2017,1,24,22
10508,-27,2017,1,24,23
10193,-29,2017,1,25,0
9974,-29,2017,1,25,1
9806,-29,2017,1,25,2
9706,-28,2017,1,25,3
9704,-28,2017,1,25,4
9760,-26,2017,1,25,5
9759,-25,2017,1,25,6
9878,-23,2017,1,25,7
10166,-22,2017,1,25,8
10314,-20,2017,1,25,9
10436,-19,2017,1,25,10
10442,-17,2017,1,25,11
10383,-16,2017,1,25,12
10304,-16,2017,1,25,13
10131,-15,2017,1,25,14
10181,-15,2017,1,25,15
10309,-15,2017,1,25,16
10315,-14,2017,1,25,17
10561,-14,2017,1,25,18
10728,-13,2017,1,25,19
10764,-13,2017,1,25,20
10786,-12,2017,1,25,21
10665,-11,2017,1,25,22
10540,-11,2017,1,25,23
10189,-12,2017,1,26,0
9862,-12,2017,1,26,1
9625,-13,2017,1,26,2
9615,-16,2017,1,26,3
9600,-16,2017,1,26,4
9622,-17,2017,1,26,5
9671,-18,2017,1,26,6
9721,-20,2017,1,26,7
10006,-20,2017,1,26,8
10035,-22,2017,1,26,9
10095,-22,2017,1,26,10
10057,-21,2017,1,26,11
